id,sku,name,short_description,image,price,product_link,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
73822516,1762886406084,Đầu Ngòi Bút Thay Thế Cao Cấp Cho Apple Pencil 1 / Apple Pencil 2 - Apple Pencil Tips,"Dùng chất liệu cao cấp, không tạp chất, thay thế hoàn hảoKhác biệt hoàn toàn với các dòng có trên thị trườngĐộ nhạy, mượt mà của bút vẫn được đảm bảoPlug & Play   ...",https://salt.tikicdn.com/cache/280x280/ts/product/29/71/32/a7d5699dc17fd76ed0c3d8d232731867.jpg,90000,,90000,,0,0,5,,available,,1000,1000,,111461,OEM
57282867,7574825713733,"Tay cầm chơi game Fifa online 4 trên pc, laptop -black","Thiết kế bắt mắtTay game có nhiều nút mode khi chơiHỗ trợ FO4, FO3 chơi dễ dàngGắn vào là kết nốiHỗ trợ pc, laptop từ window 7 trở lênĐầu gắn usb...",https://salt.tikicdn.com/cache/280x280/ts/product/1e/01/34/caeabf26d362b067d155542ebdd9d20e.jpg,153400,,153400,,0,0,11,,available,,1000,1000,,111461,OEM
20075565,6556327364836,Cáp chia nguồn sata 1 ra 2 vuông góc 90 độ,Trong những trường hợp case máy tính của bạn vị thiếu chân nguồn sata thì cáp chia nguồn sata 1 ra 2 là giải pháp tốt và kinh tế nhất cho bạn.- Cáp chia nguồn SATA 1 ra 2 vuông góc 90 độ. Chia từ 1 c...,https://salt.tikicdn.com/cache/280x280/ts/product/9b/b8/d8/5b4fe3d13ccd7bfadfda36dad4b4aedc.jpg,29355,,30900,,1545,5,18,,available,,1000,1000,,111461,OEM
184783198,6933288856232,"Bộ sạc nhanh 10W (5V/2A) chân dẹt màu trắng tặng kèm cáp sạc USB micro dùng cho samsung, sony, nokia, vivo, oppo, redmi...","Bộ sạc nhanh 10W (5V/2A) chân dẹt màu trắng tặng kèm cáp sạc USB micro dùng cho samsung, sony, nokia, vivo, oppo, - Dòng sạc chuẩn 10w độ ổn định cao- Không gây nóng máy, loạn cảm ứng khi sử dụng- ...",https://salt.tikicdn.com/cache/280x280/ts/product/fb/e8/0b/c9bfe6fbcbe3fe5c2a9d0cf4ed1d2fd0.jpg,91000,,159000,,68000,43,21,,available,,1000,1000,,111461,OEM
69238917,4634677542639,Dây cáp sạc nhanh 100W chuẩn PD 2.0 Type C to type-c QC 3.0 hiệu Baseus Cafule type c to Type C cho iPad Pro 2018 / 2020 / Samsung / Huawei / Xiaomi / Tablet / Macbook / Laptop Type C - Hàng nhập khẩu,Dây cáp sạc nhanh 100W chuẩn PD 2.0  type c to type-c QC 3.0 hiệu Baseus Cafule Type C to Type C  cho iPad Pro 2018 / 2020 / Samsung / Huawei / Xiaomi / Tablet / Macbook / Laptop Type C (sạc nhanh 5A...,https://salt.tikicdn.com/cache/280x280/ts/product/6b/9d/b6/6d8c257a61fff32b1555c1ab894eb5a6.JPG,129000,,129000,,0,0,146,,available,,1000,1000,,21651,Baseus
195531282,2206566760806,Ốp lưng dành cho iPhone 14 / 14 Max / 14 Pro / 14 Pro Max - Hàng chính hãng,Ốp lưng chống sốc lưng trong phong cách mới dành cho iPhone 14 / 14 Max / 14 Pro / 14 Pro Max - Hàng chính hãng...,https://salt.tikicdn.com/cache/280x280/ts/product/48/2b/35/943ab442e4ef5872b6293420b4b965dd.jpg,179000,,250000,,71000,28,46,,available,,1000,1000,,625265,Photodesign VN
77673897,4249067992888,Tai Nghe Bluetooth Nhét Tai True Wireless Không Dây PKCB - Hàng Chính Hãng H309,Tai Nghe Bluetooth Nhét Tai True Wireless Không Dây PKCB - Hàng Chính Hãng H309Điều khiển cảm ứng đa chức năng nhạy bénChỉ cần chạm nhẹ là bạn có thể tùy chọn các chức năng với tai nghe linh động...,https://salt.tikicdn.com/cache/280x280/ts/product/1e/f9/00/a47bd8c8843dbef7d9ef1abc9cd21d55.png,188000,,500000,,312000,62,185,,available,,1000,1000,,500047,PKCB
1011253,5918466737604,Tai Nghe Chụp Tai Logitech H370 - Hàng Chính Hãng,Âm thanh chất lượng kỹ thuật sốTai Nghe USB Có Mic Logitech H370 thưởng thức các cuộc gọi internet trong trẻo cho cảm giác như đang nói chuyện trực tiếp. Việc chơi game trở nên đẳng cấp với các thao ...,https://salt.tikicdn.com/cache/280x280/ts/product/5c/03/2e/cb32d49c9099308f481cdc717ce91c11.jpg,685000,,685000,,0,0,24,,available,,1000,1000,,18984,Logitech
187118836,6270258919625,Bộ 2 miếng kính cường lực Gor cho iPhone 13 Mini / 13 / 13 Pro / 13 Pro Max - Full Box - Gor - Hàng chính hãng,"Full Box : 2 Kính cường lực trong + Khăn lau + Dầu chống hở Kính cường lực trong suốt cao, không full màn hình- độ cứng chuẩn 9H Không chấm liti Chống xước Không lo bị trầy màn hình Thiết kế có độ đàn...",https://salt.tikicdn.com/cache/280x280/ts/product/de/80/e3/11852515d6343b0cfe1548d2d89759ec.png,141550,,149000,,7450,5,9,,available,,1000,1000,,162313,Gor
130448805,1779356844634,Tai nghe Hoco M60 Perfect với cáp đàn hồi cao TPE mic -Hàng nhập khẩu," Tai nghe phổ quát âm thanh M60 Hoàn hảo với cáp đàn hồi cao TPE mic 1,2m tai nghe có dây với thiết kế nhẹ trong tai thân thiện với người dùng mic1. Loa: 10mm.2. Chiều dài dòng: 1,2m, trọnglượng: 13...",https://salt.tikicdn.com/cache/280x280/ts/product/32/00/11/973161be9ef01d5505f50266e07e49a8.jpg,51000,,75000,,24000,32,19,,available,,1000,1000,,21653,Hoco
